Molalitity_NaCl;Molalitity_KCl;Molalitity_CaCl2;pressure in bar;temperature in K;dyn. viscosity eta  in mPa.s;rho in g/cm^3;therm. cond. in W/m/K
0.0234;0;0;1;298.15;0.8928;0.998;0
0.0275;0;0;1;298.15;0.8931;0.9982;0
0.0525;0;0;1;298.15;0.8954;0.9992;0
0.0576;0;0;1;298.15;0.8957;0.9994;0
0.0632;0;0;1;298.15;0.8963;0.9996;0
0.0794;0;0;1;298.15;0.8974;1.0003;0
0.0933;0;0;1;298.15;0.8984;1.0008;0
0.1124;0;0;1;298.15;0.9002;1.0017;0
0.1435;0;0;1;298.15;0.9027;1.003;0
0.1648;0;0;1;298.15;0.9042;1.0038;0
0.2187;0;0;1;298.15;0.9088;1.0059;0
0.3395;0;0;1;298.15;0.9182;1.0108;0
0.028;0;0;1;298.15;0.8932;0.9982;0
0.0439;0;0;1;298.15;0.8945;0.9988;0
0.1486;0;0;1;298.15;0.903;1.0032;0
0.1554;0;0;1;298.15;0.9037;1.0033;0
0.1735;0;0;1;298.15;0.9052;1.0041;0
0.2499;0;0;1;298.15;0.9111;1.0073;0
0.4476;0;0;1;298.15;0.9272;1.015;0
0.5614;0;0;1;298.15;0.9367;1.0196;0
0.7198;0;0;1;298.15;0.95;1.0257;0
0.9807;0;0;1;298.15;0.9732;1.0355;0
1.0034;0;0;1;298.15;0.9752;1.0364;0
1.3174;0;0;1;298.15;1.0048;1.048;0
1.6728;0;0;1;298.15;1.041;1.0609;0
1.8995;0;0;1;298.15;1.0653;1.0689;0
2.001;0;0;1;298.15;1.0764;1.0723;0
0.3495;0;0;1;298.15;0.919;1.0112;0
0.4057;0;0;1;298.15;0.9237;1.0135;0
0.4478;0;0;1;298.15;0.9272;1.0149;0
0.7023;0;0;1;298.15;0.9488;1.025;0
0.7244;0;0;1;298.15;0.9506;1.0259;0
0.8636;0;0;1;298.15;0.9626;1.0312;0
1.5854;0;0;1;298.15;1.0312;1.0578;0
1.6654;0;0;1;298.15;1.0397;1.0607;0
1.961;0;0;1;298.15;1.0715;1.0709;0
3.2579;0;0;1;298.15;1.2368;1.1141;0
3.4321;0;0;1;298.15;1.2621;1.1196;0
3.6813;0;0;1;298.15;1.3005;1.1275;0
2.3156;0;0;1;298.15;1.1129;1.0831;0
2.7186;0;0;1;298.15;1.1632;1.0966;0
2.9405;0;0;1;298.15;1.193;1.1038;0
3.2249;0;0;1;298.15;1.2328;1.113;0
3.6736;0;0;1;298.15;1.3;1.1271;0
4.2179;0;0;1;298.15;1.3902;1.1437;0
4.3397;0;0;1;298.15;1.4117;1.1473;0
4.6368;0;0;1;298.15;1.4658;1.1562;0
4.9288;0;0;1;298.15;1.5218;1.1647;0
5.116;0;0;1;298.15;1.5591;1.1698;0
5.2593;0;0;1;298.15;1.5887;1.1739;0
5.346;0;0;1;298.15;1.6068;1.1762;0
5.5426;0;0;1;298.15;1.649;1.1816;0
5.8345;0;0;1;298.15;1.7145;1.1897;0
6.0216;0;0;1;298.15;1.7585;1.1949;0
0;0.0214;0;1;298.15;0.8907;0.9981;0
0;0.059;0;1;298.15;0.8906;0.9999;0
0;0.0955;0;1;298.15;0.8905;1.0015;0
0;0.134;0;1;298.15;0.8902;1.0033;0
0;0.1597;0;1;298.15;0.8903;1.0046;0
0;0.3197;0;1;298.15;0.8891;1.0118;0
0;0.4944;0;1;298.15;0.8882;1.0197;0
0;0.5331;0;1;298.15;0.8884;1.0213;0
0;0.9477;0;1;298.15;0.8877;1.0393;0
0;1.2173;0;1;298.15;0.8883;1.0507;0
0;1.2968;0;1;298.15;0.8885;1.0539;0
0;1.3584;0;1;298.15;0.889;1.0564;0
0;1.7032;0;1;298.15;0.8917;1.0701;0
0;1.7218;0;1;298.15;0.8915;1.0709;0
0;1.7758;0;1;298.15;0.8923;1.0732;0
0;2.2846;0;1;298.15;0.8987;1.0926;0
0;2.424;0;1;298.15;0.9007;1.0978;0
0;2.7977;0;1;298.15;0.9076;1.1114;0
0;3.3554;0;1;298.15;0.9204;1.1309;0
0;3.4934;0;1;298.15;0.9239;1.1356;0
0;3.5485;0;1;298.15;0.9251;1.1375;0
0;3.9487;0;1;298.15;0.9368;1.1508;0
0;4.603;0;1;298.15;0.9582;1.1717;0
0;4.8181;0;1;298.15;0.9662;1.1782;0
