d/10 kg/m³,T_C,p *10 / bar
116.953,11.8571,1.05825
116.957,11.8052,1.12128
117.257,8.15378,6.15591
117.514,8.11353,16.6328
117.762,8.08511,27.1095
117.977,8.05505,37.5867
118.103,8.02037,48.0651
118.091,8.90705,58.4381
117.938,12.6834,68.1105
117.89,17.7629,77.2774
117.933,22.847,86.443
117.984,27.9316,95.6084
118.023,33.0697,104.731
117.604,42.4044,101.621
117.188,51.7394,98.5109
116.764,59.392,92.9917
116.306,65.5052,85.2856
115.792,71.6155,77.5802
115.283,77.7261,69.8747
114.995,83.848,62.1661
115.145,89.9926,54.4512
113.865,95.557,46.557
113.036,91.9667,38.2831
113.285,83.632,33.2899
113.832,74.6647,29.2597
114.4,65.6985,25.2291
114.927,56.7302,21.1992
115.404,47.7593,17.1699
115.838,38.7861,13.1413
116.235,29.8111,9.11329
116.603,20.8346,5.08563
115.53,61.4417,50.6494
117.078,43.1223,78.4925
114.032,82.1653,45.2441
116.839,33.2154,37.6855
116.947,20.6172,17.6365
117.738,35.7473,97.2164
115.508,55.2762,36.5291
115.017,71.4825,58.6445
116.725,54.1229,82.5221
117.378,30.5185,76.1986
117.542,33.862,86.5268
113.302,85.5178,39.6012
114.46,88.7163,47.627
114.607,81.294,53.8702
113.996,75.972,38.3957
117.334,20.6525,32.3959
116.228,38.4449,25.9728
117.065,28.2087,56.4602
117.376,13.9902,21.8937
117.068,14.8158,11.4281
116.638,23.3975,11.4111
116.47,30.6652,19.266
115.028,58.5824,29.1148
114.638,66.5145,35.1965
115.718,48.2996,28.9463
114.948,76.9287,62.9697
115.546,67.6199,68.1325
116.604,59.1776,86.5395
116.999,51.6525,90.3245
117.366,43.3463,92.9549
117.127,45.6116,85.6889
117.681,24.3847,79.5984
117.379,23.4027,68.1583
117.807,28.3353,89.3927
114.738,72.0795,48.1468
117.697,17.5994,42.8613
117.662,13.2729,32.3676
115.874,41.2748,19.6323
116.805,29.3613,28.6614
116.272,44.3804,39.5723
115.388,50.5666,22.9458
115.695,61.99,60.2887
117.478,18.0681,60.4275
114.636,69.6656,41.5132
117.947,11.3858,42.8379
117.047,22.641,25.014
116.225,41.8377,32.5871
115.869,49.0491,35.2651
116.392,55.8837,70.6293
116.312,45.6178,56.3719
115.921,61.2007,66.8036
116.1,63.0845,75.6099
115.767,54.3788,55.8825
116.62,50.4539,63.7199
116.152,49.529,47.638
116.83,47.6408,71.5298
117.31,36.3352,80.0248
117.004,34.2093,65.7661
117.099,38.1897,72.4632
116.872,42.2235,63.8574
116.707,36.9167,56.9227
117.016,33.0487,47.6924
117.432,24.2962,48.5741
117.282,25.4565,40.4193
116.694,38.104,42.7759
116.631,40.8616,50.1289
114.731,75.0839,53.5876
115.179,67.6467,53.1534
115.305,61.354,42.2814
115.763,54.6755,43.2639
117.227,29.4708,69.9573
117.087,27.968,63.2016
117.871,16.0542,51.7977
